provider,match_type,pattern,priority,notes
Abusix,suffix,void.blackhole.mx,0,"Unusual as MX, review if found"
Alibaba Cloud (HiChina),suffix,mxhichina.com,80,Alibaba HiChina MX infrastructure (mx*.mxhichina.com)
Alibaba Cloud Mail,suffix,mail.alibaba.com,80,Alibaba mail MX (mx*.mail.alibaba.com)
Alibaba Cloud Mail,suffix,qiye.aliyun.com,80,Alibaba Cloud enterprise mail MX (mx*.qiye.aliyun.com)
Amazon,suffix,amazon-smtp.amazon.com,10,amazon-smtp.amazon.com
Apple,suffix,apple.com,10,Apple Corp mail
Appriver,suffix,arsmtp.com,20,"Seen 3333 domains, ex: cityofbinghamton-gov.mx1.arsmtp.com"
AWeber,suffix,aweber.com,10,ESP inbound handling
Barracuda,suffix,barracudanetworks.com,20,Barracuda Email Security (d*.ess.barracudanetworks.com)
Broadcom,suffix,messagelabs.com,10,"Broadcom, Symantic"
carrierzone,suffix,carrierzone.com,20,"Seen 244 domains, ex: mx1c45.carrierzone.com"
Cisco,suffix,mxrecord.io,20,"Seen 330 domains, ex: mailstream-east.mxrecord.io"
Cloudflare Email Routing,suffix,mx.cloudflare.net,15,Cloudflare Email Routing (route*.mx.cloudflare.net)
Disposable Email Service,suffix,ese.kr,10,ESE Disposable Email Services
Disposable Email Service,suffix,gourmet7.spamgourmet.com,10,Spamgourmet Disposable Email Service
Disposable Email Service,suffix,mailinator.com,10,Mailinator Disposable Services
Disposable Email Service,suffix,mx.breakthur.com,10,BreakThru Disposable Email Services
Disposable Email Service,suffix,mx.discard.email,10,Discard Disposable Email Services
Disposable Email Service,suffix,mx.generic-isp.com,10,"Unusual as MX, review if found"
Disposable Email Service,suffix,mx.mail-temporaire.fr,10,Disposable Email Service
Disposable Email Service,suffix,mx.powered.name,10,"Unusual as MX, review if found"
Disposable Email Service,suffix,unstablemail.com,0,Unstablemail.com disposable email
dpoczta.pl,suffix,dpoczta.pl,10,Polish provider
Fastmail,suffix,messagingengine.com,20,Fastmail inbound MX
Gmail,contains,gmail-smtp-in.l.google.com,10,gmail.com and googlemail.com consumer MX
GMX,suffix,gmx.net,10,United Internet GMX
GoDaddy / SecureServer,suffix,secureserver.net,10,Catches smtp.secureserver.net and mailstore*.secureserver.net
Google Workspace,regex,^_dc-mx\.[a-f0-9]+\.,10,Google Workspace Domain Connect MX (_dc-mx.<hash>.<domain>)
Google Workspace,regex,^alt[0-9]+\.aspmx\.l\.google\.com$,12,Workspace alt MX
Google Workspace,suffix,aspmx.l.google.com,10,Primary Google Workspace MX
Google Workspace,suffix,aspmx2.googlemail.com,11,Workspace additional MX
Google Workspace,suffix,aspmx3.googlemail.com,11,Workspace additional MX
Google Workspace,exact,smtp.google.com,10,"Google relay endpoint, not standard MX set"
Hornet Security,suffix,hornetsecurity.com,10,Hornet Security
Hover,suffix,hostedemail.com,20,"Seen 240 domains, ex: mx.hover.com.cust.hostedemail.com"
iCloud Mail,suffix,mail.icloud.com,10,Apple iCloud Mail
Intermedia,suffix,serverdata.net,20,"Seen 749 domains, ex: east.smtp.mx.o365.serverdata.net"
Ionos,suffix,ionos.com,20,"Seen 778 domains, ex: mx00.ionos.com"
Ionos,suffix,ionos.de,10,Hosting provider
Ionos,suffix,ionos.es,10,Hosting provider
Ionos,suffix,ionos.fr,10,Hosting provider
Ionos,suffix,mail.com,10,Hosting provider
Ionos,suffix,mx00.1and1.co.uk,10,Hosting provider
